id,drug,co_drug,status,note
127,Gentamicin,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
128,Gentamicin,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
129,Gentamicin,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
130,Gentamicin,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
131,Gentamicin,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
132,Gentamicin,Cefazolin,Unknown,ไม่พบข้อมูลยืนยัน
133,Gentamicin,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
134,Gentamicin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
135,Gentamicin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
136,Gentamicin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
137,Gentamicin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
138,Gentamicin,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
139,Gentamicin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
140,Gentamicin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
141,Gentamicin,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
142,Gentamicin,Penicillin G sodium,Unknown,หลีกเลี่ยงผสมถ้าไม่จำเป็น
143,Gentamicin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
144,Gentamicin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
145,Gentamicin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
146,Gentamicin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
147,Gentamicin,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
148,Meropenem,Amphotericin B,Unknown,ไม่พบข้อมูลยืนยัน
149,Meropenem,Ceftazidime,Unknown,ไม่พบข้อมูลยืนยัน
150,Meropenem,Cefotaxime,Unknown,หลีกเลี่ยงผสมข้ามคลาส
151,Meropenem,Clindamycin,Unknown,ไม่พบข้อมูลยืนยัน
152,Meropenem,Cloxacillin,Unknown,Auto-filled placeholder (not yet reviewed)
153,Meropenem,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
154,Meropenem,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
155,Meropenem,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
156,Meropenem,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
157,Meropenem,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
158,Meropenem,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
159,Meropenem,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
160,Meropenem,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
161,Meropenem,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
162,Meropenem,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
163,Meropenem,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
164,Meropenem,Colistin,Unknown,ไม่พบข้อมูลยืนยัน
165,Meropenem,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
166,Meropenem,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
167,Meropenem,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
168,Meropenem,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
169,Meropenem,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
170,Meropenem,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
171,Meropenem,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
172,Meropenem,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
173,Meropenem,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
174,Meropenem,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
175,Meropenem,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
176,Meropenem,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
177,Meropenem,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
178,Meropenem,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
179,Amphotericin B,Ceftazidime,Unknown,ยาไวต่อ pH/ตัวทำละลาย แนะนำแยกสาย
180,Amphotericin B,Cefotaxime,Unknown,ไม่มีข้อมูลชัดเจน
181,Amphotericin B,Clindamycin,Unknown,Auto-filled placeholder (not yet reviewed)
182,Amphotericin B,Cloxacillin,Unknown,Auto-filled placeholder (not yet reviewed)
183,Amphotericin B,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
184,Amphotericin B,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
185,Amphotericin B,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
186,Amphotericin B,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
187,Amphotericin B,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
188,Amphotericin B,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
189,Amphotericin B,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
190,Amphotericin B,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
191,Amphotericin B,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
192,Amphotericin B,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
193,Amphotericin B,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
194,Amphotericin B,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
195,Amphotericin B,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
196,Amphotericin B,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
197,Amphotericin B,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
198,Amphotericin B,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
199,Amphotericin B,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
200,Amphotericin B,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
201,Amphotericin B,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
202,Amphotericin B,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
203,Amphotericin B,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
204,Amphotericin B,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
205,Amphotericin B,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
206,Amphotericin B,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
207,Amphotericin B,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
208,Amphotericin B,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
209,Ceftazidime,Cloxacillin,Unknown,Auto-filled placeholder (not yet reviewed)
210,Ceftazidime,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
211,Ceftazidime,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
212,Ceftazidime,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
213,Ceftazidime,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
214,Ceftazidime,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
215,Ceftazidime,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
216,Ceftazidime,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
217,Ceftazidime,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
218,Ceftazidime,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
219,Ceftazidime,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
220,Ceftazidime,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
221,Ceftazidime,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
222,Ceftazidime,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
223,Ceftazidime,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
224,Ceftazidime,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
225,Ceftazidime,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
226,Ceftazidime,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
227,Ceftazidime,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
228,Ceftazidime,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
229,Ceftazidime,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
230,Ceftazidime,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
231,Ceftazidime,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
232,Ceftazidime,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
233,Ceftazidime,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
234,Cefotaxime,Cloxacillin,Unknown,Auto-filled placeholder (not yet reviewed)
235,Cefotaxime,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
236,Cefotaxime,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
237,Cefotaxime,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
238,Cefotaxime,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
239,Cefotaxime,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
240,Cefotaxime,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
241,Cefotaxime,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
242,Cefotaxime,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
243,Cefotaxime,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
244,Cefotaxime,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
245,Cefotaxime,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
246,Cefotaxime,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
247,Cefotaxime,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
248,Cefotaxime,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
249,Cefotaxime,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
250,Cefotaxime,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
251,Cefotaxime,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
252,Cefotaxime,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
253,Cefotaxime,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
254,Cefotaxime,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
255,Cefotaxime,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
256,Cefotaxime,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
257,Cefotaxime,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
258,Cefotaxime,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
259,Clindamycin,Cloxacillin,Unknown,Auto-filled placeholder (not yet reviewed)
260,Clindamycin,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
261,Clindamycin,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
262,Clindamycin,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
263,Clindamycin,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
264,Clindamycin,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
265,Clindamycin,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
266,Clindamycin,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
267,Clindamycin,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
268,Clindamycin,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
269,Clindamycin,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
270,Clindamycin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
271,Clindamycin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
272,Clindamycin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
273,Clindamycin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
274,Clindamycin,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
275,Clindamycin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
276,Clindamycin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
277,Clindamycin,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
278,Clindamycin,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
279,Clindamycin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
280,Clindamycin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
281,Clindamycin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
282,Clindamycin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
283,Clindamycin,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
284,Cloxacillin,Hydrocortisone,Unknown,Auto-filled placeholder (not yet reviewed)
285,Cloxacillin,Insulin Human Regular,Unknown,Auto-filled placeholder (not yet reviewed)
286,Cloxacillin,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
287,Cloxacillin,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
288,Cloxacillin,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
289,Cloxacillin,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
290,Cloxacillin,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
291,Cloxacillin,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
292,Cloxacillin,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
293,Cloxacillin,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
294,Cloxacillin,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
295,Cloxacillin,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
296,Cloxacillin,Dexamethasone,Unknown,Auto-filled placeholder (not yet reviewed)
297,Cloxacillin,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
298,Cloxacillin,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
299,Cloxacillin,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
300,Cloxacillin,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
301,Cloxacillin,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
302,Cloxacillin,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
303,Cloxacillin,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
304,Cloxacillin,Penicillin G sodium,Unknown,Auto-filled placeholder (not yet reviewed)
305,Cloxacillin,Phenobarbital,Unknown,Auto-filled placeholder (not yet reviewed)
306,Cloxacillin,Phenytoin (Dilantin),Unknown,Auto-filled placeholder (not yet reviewed)
307,Cloxacillin,Sul-am®,Unknown,Auto-filled placeholder (not yet reviewed)
308,Cloxacillin,Sulbactam,Unknown,Auto-filled placeholder (not yet reviewed)
309,Cloxacillin,Unasyn,Unknown,Auto-filled placeholder (not yet reviewed)
310,Hydrocortisone,Insulin Human Regular,Unknown,พิจารณาให้แยกสาย
311,Hydrocortisone,Midazolam,Unknown,Auto-filled placeholder (not yet reviewed)
312,Hydrocortisone,Morphine,Unknown,Auto-filled placeholder (not yet reviewed)
313,Hydrocortisone,Remdesivir,Unknown,Auto-filled placeholder (not yet reviewed)
314,Hydrocortisone,Sulperazone,Unknown,Auto-filled placeholder (not yet reviewed)
315,Hydrocortisone,Tazocin,Unknown,Auto-filled placeholder (not yet reviewed)
316,Hydrocortisone,Amikacin,Unknown,Auto-filled placeholder (not yet reviewed)
317,Hydrocortisone,Aminophylline,Unknown,Auto-filled placeholder (not yet reviewed)
318,Hydrocortisone,Amoxicillin / Clavimoxy,Unknown,Auto-filled placeholder (not yet reviewed)
319,Hydrocortisone,Cefazolin,Unknown,Auto-filled placeholder (not yet reviewed)
320,Hydrocortisone,Colistin,Unknown,Auto-filled placeholder (not yet reviewed)
321,Hydrocortisone,Dexamethasone,Unknown,สเตียรอยด์ร่วม—ไม่มีข้อมูล Y-site
322,Hydrocortisone,Dobutamine,Unknown,Auto-filled placeholder (not yet reviewed)
323,Hydrocortisone,Dopamine,Unknown,Auto-filled placeholder (not yet reviewed)
324,Hydrocortisone,Fentanyl,Unknown,Auto-filled placeholder (not yet reviewed)
325,Hydrocortisone,Furosemide,Unknown,Auto-filled placeholder (not yet reviewed)
326,Hydrocortisone,Metronidazole (Flagyl),Unknown,Auto-filled placeholder (not yet reviewed)
327,Hydrocortisone,Nimbex (Cisatracurium),Unknown,Auto-filled placeholder (not yet reviewed)
328,Hydrocortisone,Omeprazole,Unknown,Auto-filled placeholder (not yet reviewed)
